,,,,,,,,,,,,,,,,,,,,,,,†,,
"express arguments formally",+,"decision making be facilitated",+,"collective knowledge representation be supported",+,"knowledge externalization be supported",+,"summarization be simple",+,"efficiently aggregate content",+,"opposing views be expressed",+,,-,"activity be accessible",-,"communication is succinct",-,"community bond be forged",-,,†,,"flame wars be avoided"
"expressive communication",+,"community bond be forged",+,"divergent thinking be facilitated",+,"hidden needs uncovered",+,"build common ground",+,"activity be accessible",+,,+,,-,"summarization be simple",-,"express arguments formally",-,,-,,†,,"foster discussion of differences"
"group discussion of material",+,participation,+,"build common ground",+,"increase user social ties",+,"perform for audience",+,"collective knowledge representation be supported",+,"increase user social ties",+,,-,"opinions be diverse",-,"avoid evaluation apprehension",-,,-,,†,,"foster group identity"
"help interpret messages",+,"decision making be facilitated",+,"determining relevent discussion to join be simple",+,"efficiently aggregate content",+,"summarization be simple",+,,+,,+,,-,,-,,-,,-,,†,,"group stability"
"icommunicate community norms",+,"foster group identity",+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"group unity"
"identify moral differences",+,"opinions be diverse",+,"interaction partners be assessed",+,"decision making be facilitated",+,"agreement be sincere",+,,+,,+,,-,"flame wars be avoided",-,"avoid evaluation apprehension",-,,-,,†,,"hidden needs uncovered"
"increase individual contributions",+,participation,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"identify valuable participants"
"indicate external credibility",+,trust,+,,+,,+,,+,,+,,+,,-,neutrality,-,,-,,-,,†,,"identity is projected to others"
"indicate user activity history",+,"identify valuable participants",+,"identity is projected to others",+,"interaction partners be assessed",+,"awareness of others activities be supported",+,,+,,+,,-,"avoid evaluation apprehension",-,,-,,-,,†,,"increase content breadth"
"integrate into single document",+,"decision making be facilitated",+,"ease of use",+,"collective knowledge representation be supported",+,"summarization be simple",+,,+,,+,,-,"real time collaboration",-,,-,,-,,†,,"increase user social ties"
"justify censorship",+,"political efficacy",+,neutrality,+,"avoid evaluation apprehension",+,,+,,+,,+,,-,,-,,-,,-,,†,,"information sources be broad"
"knowledge formalization",+,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"interaction partners be assessed"
"limit access to opposing team",+,"avoid evaluation apprehension",+,"community bond be forged",+,"group unity",+,,+,,+,,+,,-,"opinions be diverse",-,"opposing views be expressed",-,"awareness of others activities be supported",-,"activity be accessible",†,,"involvement be increased"
"little social pressure",+,"avoid evaluation apprehension",+,"opinions be diverse",+,"sensitive issues be surfaced",+,,+,,+,,-,"credibility be increased",-,trust,-,"social norms be emergent",-,"increase user social ties",-,"flame wars be avoided",†,,"knowledge externalization be supported"
"membership reminder",+,"sustained interaction",+,"group unity",+,"foster group identity",+,"community bond be forged",+,,+,,+,,-,"opinions be diverse",-,neutrality,-,,-,,†,,neutrality
"natural interaction",+,"social norms be emergent",+,"effort be minimal",+,trust,+,"flame wars be avoided",+,"emergent collaboration",+,"hidden needs uncovered",+,,-,"avoid evaluation apprehension",-,,-,,-,,†,,"opinions be diverse"
"negative moderation",+,"flame wars be avoided",+,"efficiently aggregate content",+,"decision making be facilitated",+,,+,,+,,+,,-,"avoid evaluation apprehension",-,neutrality,-,"agreement be sincere",-,,†,,"opposing views be expressed"
"no horizontal scrolling",+,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,participation
"no moderation",+,"avoid evaluation apprehension",+,,+,,+,,+,,+,,+,,-,"flame wars be avoided",-,"retain democratic nature",-,"credibility be increased",-,"opposing views be expressed",†,,"participation increased"
"obtain social cues",+,"social norms be emergent",+,"perform for audience",+,"increase user social ties",+,"foster group identity",+,,+,,+,,-,"avoid evaluation apprehension",-,,-,,-,,†,,"perform for audience"
"perceive space as active",+,"awareness of others activities be supported",+,"determining relevent discussion to join be simple",+,"perform for audience",+,"transparent collaboration state",+,,+,,+,,-,,-,,-,,-,,†,,"political efficacy"
"portray social cues",+,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"real time collaboration"
"prioritize content",+,"decision making be facilitated",+,"efficiently aggregate content",+,"summarization be simple",+,"determining relevent discussion to join be simple",+,"selective dissemination of informaiton",+,,+,,-,"opposing views be expressed",-,"increase content breadth",-,"avoid evaluation apprehension",-,,†,,"reciprocal support"
"prioritize referenced messages",+,"tracking relevant messages be simple",+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"reduce effort"
"publish personal interests",+,"interaction partners be assessed",+,"identify valuable participants",+,"build common ground",+,,+,,+,,+,,-,"avoid evaluation apprehension",-,,-,,-,,†,,"referring to others be simple"
"receive reply",+,"sustained interaction",+,"social norms be emergent",+,,+,,+,,+,,+,,-,"flame wars be avoided",-,,-,,-,,†,,"register with confidence"
"recognize user status",+,"credibility be increased",+,"identify valuable participants",+,"identity is projected to others",+,"perform for audience",+,,+,,+,,-,neutrality,-,"opposing views be expressed",-,,-,,†,,"relevant information be accesible"
"reflect user interests",+,"community bond be forged",+,"content be engaging",+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"retain democratic nature"
"reply effort",++,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"selective dissemination of informaiton"
"scroll through conversation",+,"collective knowledge representation be supported",+,"awareness of others activities be supported",+,"identify valuable participants",+,,+,,+,,+,,-,"communication is succinct",-,,-,,-,,†,,"sensitive issues be surfaced"
"sense of relevancy",+,"sustained interaction",+,trust,+,"build common ground",+,,+,,+,,+,,-,,-,,-,,-,,†,,"social norms be emergent"
"separate analysis from ideation",+,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"summarization be simple"
"sign up for membership",+,participation,+,"community be sustainable",+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"sustained interaction"
"single repository of knowledge",+,"awareness of others activities be supported",+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,"tracking relevant messages be simple"
"small messages",+,"communication is succinct",+,"reduce effort",+,"summarization be simple",+,,+,,+,,+,,-,"flame wars be avoided",-,"foster discussion of differences",-,,-,,†,,"transparent collaboration state"
"store selections",+,,+,,+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,trust
"switch between contexts",+,"selective dissemination of informaiton",+,"perform for audience",+,,+,,+,,+,,+,,-,,-,,-,,-,,†,,usability
"synchronous collaboration request",+,"social norms be emergent",+,"perform for audience",+,"foster group identity",+,,+,,+,,+,,-,"tracking relevant messages be simple",-,"express arguments formally",-,"summarization be simple",-,,,,"value of unique information maxmized"
"verbal communication",+,"summarization be simple",+,"political efficacy",+,"group stability",+,,+,,+,,+,,-,"avoid evaluation apprehension",-,"tracking relevant messages be simple",-,"express arguments formally",-,"summarization be simple",,,
