"promote competitoin among groups",+,"increase individual contributions",+,,+,,+,,-,"little social pressure",-,,-,,-,,$$,,"no horizontal scrolling"
"purpose statement",+,"portray social cues",+,"justify censorship",+,,+,,-,"expand spaces for interaction",-,,-,,-,,$$,,"no moderation"
"qurery prothesis",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"obtain social cues"
"reply support",+,"portray social cues",+,,+,,+,,-,"reply effort",-,"express arguments formally",-,,-,,$$,"textual discussion","perceive space as active"
"require comment labeling",+,,+,,+,,+,,-,"easily contribute",-,,-,,-,,$$,,"portray social cues"
"require user endoresements",+,acceptance,+,"""vote on content""",+,"evaluate content",+,"prioritize content",-,"all viewpoints considered",-,,-,,-,,$$,,"prioritize content"
"rich text",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"prioritize referenced messages"
"semantic icons",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"publish personal interests"
"single page workspace",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"receive reply"
"support peer evaluation",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"recognize user status"
"support thread creation",+,,+,,+,,+,,-,,-,,-,,-,,$$,"threaded discussion","reflect user interests"
"textual discussion",++,comment,+,,+,,+,,-,,-,,-,,-,,$$,,"reply effort"
"textual discussoin",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"scroll through conversation"
thread,+,,+,,+,,+,,-,,-,,-,,-,,$$,,"sense of relevancy"
"threaded discussion",+,,+,,+,,+,,-,,-,,-,,-,,$$,"textual discussoin","separate analysis from ideation"
"transparent moderation",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"sign up for membership"
"user profiles",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"single repository of knowledge"
"value all disagreements",+,"all viewpoints considered",+,,+,,+,,-,"little social pressure",-,,-,,-,,$$,,"small messages"
"video chat",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"store selections"
"virtual world",+,,+,,+,,+,,-,,-,,-,,-,,$$,,"switch between contexts"
,,,,,,,,,,,,,,,,,$$,,"synchronous collaboration request"
,,,,,,,,,,,,,,,,,$$,,"verbal communication"
